OFFENSE_CODE_GROUP,DISTRICT,YEAR,HOUR,TIME
Motor Vehicle Accident Response,A7,2018,24,1
Vandalism,A1,2018,24,1
Aggravated Assault,A1,2018,24,1
Simple Assault,A7,2018,24,1
Harassment,A7,2018,24,1
Larceny,A1,2018,24,1
Fraud,A1,2018,24,1
Medical Assistance,A7,2018,24,1
Property Lost,A1,2018,24,1
Property Lost,A1,2018,24,1
Towed,A7,2018,24,1
Investigate Property,A1,2018,24,1
License Violation,A1,2018,24,1
Aggravated Assault,A15,2018,24,1
Verbal Disputes,A15,2018,24,1
Investigate Person,A1,2018,24,1
Disorderly Conduct,A1,2018,24,1
Investigate Person,A7,2018,24,1
Motor Vehicle Accident Response,A15,2018,24,1
Confidence Games,A1,2018,24,1
Aggravated Assault,A1,2018,24,1
Disorderly Conduct,A1,2018,24,1
Other,A1,2018,24,1
Other,A1,2018,24,1
Missing Person Reported,A7,2018,24,1
Residential Burglary,A1,2018,24,1
Simple Assault,A1,2018,24,1
Property Lost,A1,2018,24,1
Property Lost,A1,2018,24,1
Towed,A15,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
License Violation,A7,2018,24,1
Larceny,A1,2018,24,1
Robbery,A1,2018,24,1
Simple Assault,A1,2018,24,1
Larceny,A15,2018,24,1
Vandalism,A7,2018,24,1
Investigate Person,A7,2018,24,1
Verbal Disputes,A7,2018,24,1
Investigate Person,A1,2018,24,1
Harassment,A1,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Investigate Person,A1,2018,24,1
Motor Vehicle Accident Response,A7,2018,24,1
License Violation,A1,2018,24,1
License Violation,A1,2018,24,1
Investigate Person,A1,2018,24,1
Fraud,A1,2018,24,1
Larceny From Motor Vehicle,A7,2018,24,1
Residential Burglary,A1,2018,24,1
Larceny,A1,2018,24,1
Investigate Person,A1,2018,24,1
Fraud,A1,2018,24,1
Investigate Property,A15,2018,24,1
Medical Assistance,A1,2018,24,1
Simple Assault,A1,2018,24,1
Vandalism,A7,2018,24,1
Harassment,A1,2018,24,1
Simple Assault,A7,2018,24,1
Disorderly Conduct,A7,2018,24,1
Vandalism,A1,2018,24,1
Property Lost,A1,2018,24,1
Vandalism,A1,2018,24,1
Fraud,A1,2018,24,1
Towed,A15,2018,24,1
Larceny,A1,2018,24,1
Fraud,A1,2018,24,1
Motor Vehicle Accident Response,A7,2018,24,1
Simple Assault,A1,2018,24,1
Simple Assault,A7,2018,24,1
Aggravated Assault,A1,2018,24,1
Fraud,A7,2018,24,1
Verbal Disputes,A1,2018,24,1
Confidence Games,A1,2018,24,1
Other,A7,2018,24,1
Fraud,A1,2018,24,1
Residential Burglary,A1,2018,24,1
Larceny,A1,2018,24,1
Simple Assault,A7,2018,24,1
Simple Assault,A15,2018,24,1
Robbery,A15,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Larceny,A7,2018,24,1
Motor Vehicle Accident Response,A7,2018,24,1
Fraud,A1,2018,24,1
Fraud,A1,2018,24,1
Confidence Games,A7,2018,24,1
Simple Assault,A1,2018,24,1
Other,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Other,A1,2018,24,1
Violations,A1,2018,24,1
Auto Theft,A1,2018,24,1
Recovered Stolen Property,A1,2018,24,1
Fraud,A1,2018,24,1
Other,A7,2018,24,1
Other,A1,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Fire Related Reports,A7,2018,24,1
Simple Assault,A1,2018,24,1
License Violation,A1,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Simple Assault,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Fraud,A1,2018,24,1
Investigate Person,A1,2018,24,1
License Violation,A1,2018,24,1
Simple Assault,A1,2018,24,1
License Violation,A1,2018,24,1
Aggravated Assault,A1,2018,24,1
License Violation,A1,2018,24,1
Violations,A1,2018,24,1
Arson,A1,2018,24,1
Restraining Order Violations,A1,2018,24,1
Counterfeiting,A1,2018,24,1
Simple Assault,A7,2018,24,1
Investigate Person,A1,2018,24,1
Larceny,A1,2018,24,1
Fraud,A1,2018,24,1
Residential Burglary,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Fraud,A1,2018,24,1
Other,A1,2018,24,1
Fraud,A7,2018,24,1
Fraud,A1,2018,24,1
Firearm Violations,A7,2018,24,1
Explosives,A7,2018,24,1
Auto Theft Recovery,A1,2018,24,1
Simple Assault,A1,2018,24,1
Medical Assistance,A15,2018,24,1
Simple Assault,A1,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Verbal Disputes,A7,2018,24,1
Warrant Arrests,A1,2018,24,1
Drug Violation,A7,2018,24,1
Medical Assistance,A7,2018,24,1
Harassment,A1,2018,24,1
Verbal Disputes,A7,2018,24,1
Liquor Violation,A1,2018,24,1
Other,A1,2018,24,1
Drug Violation,A1,2018,24,1
Other,A1,2018,24,1
Drug Violation,A1,2018,24,1
Aggravated Assault,A1,2018,24,1
Warrant Arrests,A7,2018,24,1
Aggravated Assault,A7,2018,24,1
Auto Theft,A7,2018,24,1
Property Found,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Larceny,A7,2018,24,1
Medical Assistance,A7,2018,24,1
Property Lost,A7,2018,24,1
Vandalism,A1,2018,24,1
Verbal Disputes,A7,2018,24,1
Towed,A7,2018,24,1
Medical Assistance,A7,2018,24,1
Commercial Burglary,A1,2018,24,1
License Violation,A7,2018,24,1
Investigate Property,A1,2018,24,1
Property Found,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Simple Assault,A7,2018,24,1
Aggravated Assault,A1,2018,24,1
Medical Assistance,A7,2018,24,1
Medical Assistance,A7,2018,24,1
Auto Theft,A7,2018,24,1
Confidence Games,A1,2018,24,1
Aggravated Assault,A1,2018,24,1
Police Service Incidents,A1,2018,24,1
License Violation,A7,2018,24,1
Medical Assistance,A7,2018,24,1
Vandalism,A1,2018,24,1
Motor Vehicle Accident Response,A7,2018,24,1
Operating Under the Influence,A1,2018,24,1
Motor Vehicle Accident Response,A15,2018,24,1
Medical Assistance,A7,2018,24,1
Towed,A7,2018,24,1
Auto Theft,A7,2018,24,1
Property Lost,A1,2018,24,1
Drug Violation,A7,2018,24,1
Aggravated Assault,A15,2018,24,1
Simple Assault,A1,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Medical Assistance,A1,2018,24,1
Medical Assistance,A1,2018,24,1
Verbal Disputes,A7,2018,24,1
Landlord/Tenant Disputes,A7,2018,24,1
Investigate Person,A1,2018,24,1
License Violation,A1,2018,24,1
Towed,A7,2018,24,1
Larceny,A1,2018,24,1
Simple Assault,A1,2018,24,1
License Violation,A1,2018,24,1
Other,A1,2018,24,1
Medical Assistance,A15,2018,24,1
Robbery,A1,2018,24,1
Larceny,A1,2018,24,1
Robbery,A1,2018,24,1
Medical Assistance,A1,2018,24,1
Robbery,A1,2018,24,1
Simple Assault,A1,2018,24,1
Larceny,A1,2018,24,1
Towed,A1,2018,24,1
Larceny,A7,2018,24,1
Larceny,A1,2018,24,1
Landlord/Tenant Disputes,A1,2018,24,1
Property Lost,A1,2018,24,1
Larceny,A1,2018,24,1
License Violation,A7,2018,24,1
Motor Vehicle Accident Response,A7,2018,24,1
Verbal Disputes,A1,2018,24,1
Verbal Disputes,A1,2018,24,1
Simple Assault,A7,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Missing Person Reported,A1,2018,24,1
Vandalism,A1,2018,24,1
Operating Under the Influence,A1,2018,24,1
Property Lost,A1,2018,24,1
Property Lost,A1,2018,24,1
Aggravated Assault,A7,2018,24,1
Investigate Person,A1,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Investigate Person,A7,2018,24,1
Larceny,A1,2018,24,1
Property Lost,A1,2018,24,1
Confidence Games,A1,2018,24,1
Harassment,A7,2018,24,1
Simple Assault,A1,2018,24,1
Larceny,A1,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Larceny,A1,2018,24,1
Investigate Person,A1,2018,24,1
Firearm Discovery,A7,2018,24,1
Simple Assault,A1,2018,24,1
Simple Assault,A7,2018,24,1
Medical Assistance,A7,2018,24,1
Aggravated Assault,A7,2018,24,1
Robbery,A1,2018,24,1
Simple Assault,A1,2018,24,1
Other,A15,2018,24,1
Simple Assault,A7,2018,24,1
License Violation,A1,2018,24,1
Police Service Incidents,A1,2018,24,1
Drug Violation,A7,2018,24,1
Property Lost,A1,2018,24,1
Commercial Burglary,A1,2018,24,1
Simple Assault,A1,2018,24,1
Confidence Games,A1,2018,24,1
Harassment,A1,2018,24,1
Property Lost,A1,2018,24,1
Simple Assault,A7,2018,24,1
Medical Assistance,A7,2018,24,1
Medical Assistance,A1,2018,24,1
Property Lost,A1,2018,24,1
Fraud,A7,2018,24,1
Simple Assault,A1,2018,24,1
Simple Assault,A1,2018,24,1
Vandalism,A1,2018,24,1
Simple Assault,A1,2018,24,1
Investigate Person,A15,2018,24,1
Harassment,A1,2018,24,1
Criminal Harassment,A1,2018,24,1
Counterfeiting,A1,2018,24,1
Investigate Property,A1,2018,24,1
Property Found,A1,2018,24,1
Property Found,A1,2018,24,1
Motor Vehicle Accident Response,A7,2018,24,1
Robbery,A1,2018,24,1
Warrant Arrests,A1,2018,24,1
Verbal Disputes,A15,2018,24,1
Investigate Property,A1,2018,24,1
Auto Theft,A1,2018,24,1
License Violation,A1,2018,24,1
Simple Assault,A1,2018,24,1
Medical Assistance,A1,2018,24,1
Verbal Disputes,A1,2018,24,1
Property Lost,A1,2018,24,1
License Violation,A1,2018,24,1
Simple Assault,A1,2018,24,1
Auto Theft,A1,2018,24,1
Larceny,A7,2018,24,1
Verbal Disputes,A7,2018,24,1
Medical Assistance,A7,2018,24,1
Medical Assistance,A7,2018,24,1
Larceny,A1,2018,24,1
Property Lost,A7,2018,24,1
Vandalism,A7,2018,24,1
Larceny,A1,2018,24,1
Larceny,A1,2018,24,1
Verbal Disputes,A1,2018,24,1
Confidence Games,A1,2018,24,1
Larceny,A1,2018,24,1
Auto Theft,A1,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Residential Burglary,A1,2018,24,1
Towed,A7,2018,24,1
Vandalism,A1,2018,24,1
Disorderly Conduct,A1,2018,24,1
Vandalism,A7,2018,24,1
Motor Vehicle Accident Response,A7,2018,24,1
Larceny,A1,2018,24,1
Property Lost,A1,2018,24,1
Towed,A1,2018,24,1
Operating Under the Influence,A1,2018,24,1
Other,A1,2018,24,1
Property Found,A1,2018,24,1
Larceny,A7,2018,24,1
Fraud,A1,2018,24,1
Investigate Person,A7,2018,24,1
Simple Assault,A1,2018,24,1
Missing Person Located,A7,2018,24,1
Other,A1,2018,24,1
Other,A7,2018,24,1
Towed,A1,2018,24,1
Medical Assistance,A15,2018,24,1
Confidence Games,A15,2018,24,1
Towed,A7,2018,24,1
Motor Vehicle Accident Response,A7,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Medical Assistance,A15,2018,24,1
Simple Assault,A1,2018,24,1
Simple Assault,A1,2018,24,1
Property Lost,A1,2018,24,1
Harassment,A1,2018,24,1
Larceny,A1,2018,24,1
Missing Person Reported,A1,2018,24,1
Missing Person Located,A1,2018,24,1
Confidence Games,A1,2018,24,1
Restraining Order Violations,A1,2018,24,1
Property Lost,A15,2018,24,1
Fire Related Reports,A1,2018,24,1
License Violation,A1,2018,24,1
Investigate Property,A1,2018,24,1
Larceny,A1,2018,24,1
Property Lost,A1,2018,24,1
Other,A7,2018,24,1
Medical Assistance,A1,2018,24,1
Missing Person Reported,A1,2018,24,1
Missing Person Located,A1,2018,24,1
Medical Assistance,A7,2018,24,1
Medical Assistance,A15,2018,24,1
Investigate Person,A1,2018,24,1
Investigate Person,A1,2018,24,1
Larceny,A7,2018,24,1
Robbery,A7,2018,24,1
Simple Assault,A1,2018,24,1
Landlord/Tenant Disputes,A7,2018,24,1
Property Lost,A15,2018,24,1
Medical Assistance,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Aggravated Assault,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Motor Vehicle Accident Response,A15,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Simple Assault,A1,2018,24,1
Disorderly Conduct,A1,2018,24,1
Other,A1,2018,24,1
Other,A1,2018,24,1
Towed,A7,2018,24,1
Drug Violation,A1,2018,24,1
Simple Assault,A7,2018,24,1
Disorderly Conduct,A7,2018,24,1
Towed,A1,2018,24,1
Drug Violation,A1,2018,24,1
Investigate Person,A1,2018,24,1
Warrant Arrests,A1,2018,24,1
Property Lost,A1,2018,24,1
Medical Assistance,A1,2018,24,1
Other,A1,2018,24,1
Investigate Person,A7,2018,24,1
Aggravated Assault,A1,2018,24,1
Larceny,A1,2018,24,1
Simple Assault,A1,2018,24,1
Larceny From Motor Vehicle,A7,2018,24,1
Investigate Person,A1,2018,24,1
Fire Related Reports,A1,2018,24,1
Robbery,A7,2018,24,1
Fire Related Reports,A1,2018,24,1
Fraud,A1,2018,24,1
Property Lost,A1,2018,24,1
Medical Assistance,A7,2018,24,1
Medical Assistance,A7,2018,24,1
Investigate Property,A1,2018,24,1
License Violation,A7,2018,24,1
Vandalism,A7,2018,24,1
Investigate Person,A15,2018,24,1
Medical Assistance,A7,2018,24,1
Larceny,A1,2018,24,1
Auto Theft,A1,2018,24,1
Medical Assistance,A7,2018,24,1
Simple Assault,A1,2018,24,1
Towed,A15,2018,24,1
Medical Assistance,A7,2018,24,1
Property Lost,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Drug Violation,A1,2018,24,1
Simple Assault,A1,2018,24,1
Other,A7,2018,24,1
Property Related Damage,A7,2018,24,1
Property Lost,A15,2018,24,1
Property Lost,A1,2018,24,1
Vandalism,A1,2018,24,1
Violations,A1,2018,24,1
Police Service Incidents,A1,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Other,A7,2018,24,1
Investigate Property,A15,2018,24,1
Aggravated Assault,A7,2018,24,1
Investigate Person,A1,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
Medical Assistance,A1,2018,24,1
Larceny,A1,2018,24,1
Disorderly Conduct,A1,2018,24,1
Other,A1,2018,24,1
Harassment,A1,2018,24,1
Investigate Person,A1,2018,24,1
Auto Theft,A1,2018,24,1
Investigate Property,A1,2018,24,1
Medical Assistance,A1,2018,24,1
Robbery,A7,2018,24,1
Drug Violation,A7,2018,24,1
Warrant Arrests,A7,2018,24,1
Aggravated Assault,A7,2018,24,1
Criminal Harassment,A7,2018,24,1
Simple Assault,A1,2018,24,1
License Violation,A1,2018,24,1
Vandalism,A1,2018,24,1
Verbal Disputes,A1,2018,24,1
Investigate Person,A7,2018,24,1
Simple Assault,A1,2018,24,1
Larceny,A1,2018,24,1
Disorderly Conduct,A1,2018,24,1
Fraud,A1,2018,24,1
Motor Vehicle Accident Response,A15,2018,24,1
Fraud,A1,2018,24,1
Vandalism,A1,2018,24,1
Vandalism,A7,2018,24,1
Vandalism,A7,2018,24,1
Violations,A1,2018,24,1
Drug Violation,A1,2018,24,1
Robbery,A7,2018,24,1
Drug Violation,A1,2018,24,1
Medical Assistance,A7,2018,24,1
Motor Vehicle Accident Response,A7,2018,24,1
Larceny,A1,2018,24,1
Property Found,A1,2018,24,1
Larceny,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Simple Assault,A1,2018,24,1
Other,A1,2018,24,1
Simple Assault,A1,2018,24,1
License Violation,A1,2018,24,1
Fraud,A7,2018,24,1
Drug Violation,A1,2018,24,1
Aggravated Assault,A1,2018,24,1
License Violation,A1,2018,24,1
Investigate Person,A1,2018,24,1
Simple Assault,A15,2018,24,1
Property Lost,A1,2018,24,1
Simple Assault,A1,2018,24,1
Investigate Person,A1,2018,24,1
Robbery,A7,2018,24,1
Aggravated Assault,A7,2018,24,1
Warrant Arrests,A7,2018,24,1
Aggravated Assault,A7,2018,24,1
Simple Assault,A7,2018,24,1
Aggravated Assault,A7,2018,24,1
Verbal Disputes,A7,2018,24,1
Property Lost,A1,2018,24,1
Medical Assistance,A1,2018,24,1
Simple Assault,A1,2018,24,1
Larceny,A1,2018,24,1
Aggravated Assault,A1,2018,24,1
Confidence Games,A1,2018,24,1
Fraud,A1,2018,24,1
Investigate Person,A1,2018,24,1
Police Service Incidents,A1,2018,24,1
Vandalism,A1,2018,24,1
Property Lost,A1,2018,24,1
Police Service Incidents,A15,2018,24,1
Verbal Disputes,A7,2018,24,1
Motor Vehicle Accident Response,A7,2018,24,1
Investigate Property,A1,2018,24,1
Investigate Person,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Drug Violation,A1,2018,24,1
Investigate Property,A7,2018,24,1
Investigate Person,A7,2018,24,1
Aggravated Assault,A1,2018,24,1
License Violation,A1,2018,24,1
Auto Theft,A1,2018,24,1
Investigate Property,A1,2018,24,1
Missing Person Located,A15,2018,24,1
Missing Person Reported,A15,2018,24,1
Larceny,A1,2018,24,1
Motor Vehicle Accident Response,A15,2018,24,1
Investigate Person,A15,2018,24,1
Investigate Person,A7,2018,24,1
Simple Assault,A1,2018,24,1
Simple Assault,A1,2018,24,1
Medical Assistance,A1,2018,24,1
Fraud,A1,2018,24,1
Property Found,A1,2018,24,1
Violations,A1,2018,24,1
Motor Vehicle Accident Response,A7,2018,24,1
Fraud,A7,2018,24,1
Investigate Person,A1,2018,24,1
Robbery,A15,2018,24,1
Aggravated Assault,A15,2018,24,1
Larceny,A1,2018,24,1
Investigate Person,A1,2018,24,1
Firearm Violations,A1,2018,24,1
Disorderly Conduct,A1,2018,24,1
Firearm Violations,A1,2018,24,1
License Violation,A7,2018,24,1
License Violation,A7,2018,24,1
Motor Vehicle Accident Response,A1,2018,24,1
License Violation,A1,2018,24,1
Simple Assault,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Larceny From Motor Vehicle,A7,2018,24,1
Other,A1,2018,24,1
Investigate Person,A15,2018,24,1
License Plate Related Incidents,A7,2018,24,1
Medical Assistance,A1,2018,24,1
License Violation,A1,2018,24,1
Investigate Person,A15,2018,24,1
Other,A15,2018,24,1
Vandalism,A15,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Larceny From Motor Vehicle,A1,2018,24,1
Investigate Person,A1,2018,24,1
License Violation,A1,2018,24,1
Vandalism,A7,2018,24,1
Larceny,A1,2018,24,1
Medical Assistance,A1,2018,24,1
Other,A1,2018,24,1
Other,A7,2018,24,1
Larceny,A1,2018,24,1
License Violation,A1,2018,24,1
Simple Assault,A1,2018,24,1
Medical Assistance,A1,2018,24,1
License Violation,A1,2018,24,1
Auto Theft,A1,2018,24,1
Drug Violation,A1,2018,24,1
Drug Violation,A1,2018,24,1
Drug Violation,A1,2018,24,1
Drug Violation,A1,2018,24,1
Warrant Arrests,A1,2018,24,1
Aggravated Assault,A1,2018,1,1
Motor Vehicle Accident Response,A1,2018,1,1
Simple Assault,A1,2018,1,1
Larceny,A1,2018,1,1
Robbery,A1,2018,1,1
Aggravated Assault,A1,2018,1,1
Larceny,A1,2018,1,1
Simple Assault,A1,2018,1,1
Motor Vehicle Accident Response,A7,2018,1,1
Motor Vehicle Accident Response,A7,2018,1,1
Investigate Person,A7,2018,1,1
Verbal Disputes,A7,2018,1,1
Other,A1,2018,1,1
Disorderly Conduct,A1,2018,1,1
Drug Violation,A7,2018,1,1
Vandalism,A15,2018,1,1
Aggravated Assault,A1,2018,1,1
Vandalism,A7,2018,1,1
Ballistics,A7,2018,1,1
Aggravated Assault,A1,2018,1,1
Larceny,A1,2018,1,1
Commercial Burglary,A1,2018,1,1
Motor Vehicle Accident Response,A1,2018,1,1
License Violation,A1,2018,1,1
License Violation,A1,2018,1,1
Medical Assistance,A1,2018,1,1
